Location(x=392.470001, y=308.209991, z=0.181704)
Location(x=343.880615, y=326.609619, z=0.001533)
Location(x=240.498993, y=326.604156, z=0.001844)
Location(x=135.772598, y=326.593170, z=0.001908)
Location(x=58.551567, y=326.566284, z=0.001837)
Location(x=2.014805, y=273.708771, z=0.001538)
Location(x=1.946017, y=101.858253, z=0.001825)
Location(x=4.251072, y=3.919173, z=0.001827)
Location(x=83.876808, y=1.956674, z=0.001486)
Location(x=162.291122, y=1.956156, z=0.001826)
Location(x=266.811249, y=1.968170, z=0.001844)
Location(x=346.133209, y=1.999703, z=0.001813)
Location(x=392.319183, y=61.792606, z=0.001527)
Location(x=392.336670, y=286.753204, z=0.001946)
