Location(x=392.470001, y=308.210022, z=0.001626)
Location(x=392.324127, y=316.002808, z=0.001911)
Location(x=382.531982, y=326.717163, z=0.001925)
Location(x=365.451111, y=326.614197, z=0.001918)
Location(x=353.231079, y=326.610565, z=0.001939)
Location(x=343.329987, y=326.610382, z=0.001473)
Location(x=323.198425, y=326.609985, z=0.001819)
Location(x=302.132812, y=326.608673, z=0.001840)
Location(x=281.234222, y=326.608917, z=0.001843)
Location(x=260.209076, y=326.606628, z=0.001844)
Location(x=239.280914, y=326.604218, z=0.001844)
Location(x=218.312363, y=326.601135, z=0.001844)
Location(x=197.299072, y=326.599579, z=0.001844)
Location(x=176.278183, y=326.597443, z=0.001844)
Location(x=155.264099, y=326.594818, z=0.001844)
Location(x=134.416916, y=326.593964, z=0.001982)
Location(x=117.716728, y=326.591766, z=0.001946)
Location(x=105.842087, y=326.590210, z=0.001871)
Location(x=96.687332, y=326.586334, z=0.001612)
Location(x=77.583221, y=326.576630, z=0.001905)
Location(x=56.702324, y=326.564758, z=0.001851)
Location(x=35.738415, y=326.553009, z=0.001844)
Location(x=16.570068, y=326.542877, z=0.002011)
Location(x=2.440968, y=321.015839, z=0.001662)
Location(x=2.008488, y=300.160126, z=0.001766)
Location(x=2.014655, y=269.764557, z=0.001545)
Location(x=2.014490, y=223.597595, z=0.001599)
Location(x=1.984072, y=175.974152, z=0.002056)
Location(x=1.969062, y=143.198090, z=0.002056)
Location(x=1.956392, y=120.248207, z=0.001901)
Location(x=1.946226, y=99.323097, z=0.001850)
Location(x=1.943777, y=78.356087, z=0.001844)
Location(x=1.953498, y=57.383354, z=0.001843)
Location(x=1.960173, y=36.425415, z=0.001843)
Location(x=1.967495, y=17.008148, z=0.002089)
Location(x=6.363933, y=2.500135, z=0.001728)
Location(x=27.200691, y=1.969542, z=0.001878)
Location(x=47.777725, y=1.969081, z=0.002002)
Location(x=64.012917, y=1.963157, z=0.001932)
Location(x=75.513100, y=1.958603, z=0.001779)
Location(x=85.865341, y=1.955464, z=0.001456)
Location(x=106.570183, y=1.949744, z=0.001808)
Location(x=124.800316, y=1.952999, z=0.001949)
Location(x=137.707657, y=1.954443, z=0.001910)
Location(x=147.031113, y=1.955129, z=0.001643)
Location(x=165.376541, y=1.956835, z=0.001826)
Location(x=186.354767, y=1.958929, z=0.001843)
Location(x=207.440918, y=1.961154, z=0.001844)
Location(x=228.386963, y=1.963925, z=0.001844)
Location(x=249.326462, y=1.965645, z=0.001844)
Location(x=270.207367, y=1.967454, z=0.001844)
Location(x=291.127014, y=1.970400, z=0.001913)
Location(x=308.173859, y=1.979697, z=0.001940)
Location(x=320.226837, y=1.986068, z=0.001907)
Location(x=330.023224, y=1.990784, z=0.001484)
Location(x=349.986542, y=2.001422, z=0.001832)
Location(x=370.853851, y=2.011589, z=0.001861)
Location(x=386.447601, y=2.399687, z=0.001858)
Location(x=392.400055, y=18.559315, z=0.001811)
Location(x=392.343658, y=39.633854, z=0.001841)
Location(x=392.310272, y=68.352440, z=0.001538)
Location(x=392.291870, y=113.007263, z=0.001594)
Location(x=392.306396, y=170.507767, z=0.001638)
Location(x=392.319794, y=228.008438, z=0.002595)
Location(x=392.328583, y=262.375183, z=0.002209)
Location(x=392.340546, y=292.023438, z=0.001926)
